,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1319, Maruti Swift,2019,VXI,Manual,Petrol,1st Owner,57265,630000
1320, Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,25960,506000
1321, Maruti Alto K10,2016,VXI,Manual,Petrol,2nd Owner,81210,321000
1322, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,25452,475000
1323, Honda Amaze,2013,1.5L I-DTEC VX,Manual,Diesel,1st Owner,86176,438000
1324, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,22474,566000
1325, Hyundai VENUE,2019,SX PLUS 1.0 TURBO DCT,Automatic,Petrol,1st Owner,95880,992000
1326, Renault Kwid,2019,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,23439,488000
1327, KIA CARENS,2022,LUXURY PLUS 1.4 PETROL 7 STR,Manual,Petrol,1st Owner,16047,1731000
1328, Honda Brio,2016,S MT,Manual,Petrol,2nd Owner,29457,433000
1329, Maruti Swift,2016,VXI,Manual,Petrol,1st Owner,84469,552000
1330, Honda City,2017,1.5L I-VTE V CVT,Automatic,Petrol,1st Owner,120848,718000
1331, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,60197,437000
1332, Honda WR-V,2018,1.2L I-VTEC S MT,Manual,Petrol,1st Owner,49538,714000
1333, Honda Brio,2012,S MT,Manual,Petrol,2nd Owner,66434,342000
1334, Hyundai Creta,2016,SX PLUS 1.6 PETROL,Manual,Petrol,2nd Owner,53031,948000
1335, Renault Kiger,2021,RXZ TURBO CVT,Automatic,Petrol,1st Owner,7598,971000
1336, Hyundai Elite i20,2017,ASTA 1.2 (O),Manual,Petrol,1st Owner,93975,639000
1337, Renault Kwid,2021,CLIMBER 1.0 (O) DUAL TONE,Manual,Petrol,1st Owner,19062,520000
1338, Maruti Ciaz,2016,ZDI SHVS,Manual,Diesel,1st Owner,48096,745000
1339, Renault Kwid,2021,CLIMBER 1.0 (O),Manual,Petrol,1st Owner,20023,534000
1340, Hyundai Elite i20,2016,ASTA 1.2,Manual,Petrol,2nd Owner,59734,631000
1341, Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,41120,420000
1342, Maruti Celerio X,2018,ZXI (O),Manual,Petrol,2nd Owner,17125,546000
1343, Maruti Alto K10,2015,VXI P,Manual,Petrol,1st Owner,30751,316000
1344, Hyundai i10,2012,MAGNA 1.2,Manual,Petrol,1st Owner,105745,289000
1345, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,68656,550000
1346, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,20248,537000
1347, Maruti Alto K10,2015,VXI,Manual,Petrol,2nd Owner,46720,321000
1348, Hyundai Creta,2016,SX PLUS 1.6 PETROL,Manual,Petrol,2nd Owner,81853,910000
1349, Maruti Baleno,2018,DELTA CVT PETROL 1.2,Automatic,Petrol,1st Owner,15267,688000
1350, Renault Kiger,2021,RXZ CVT 1.0 TURBO DUAL TONE,Automatic,Petrol,2nd Owner,21929,907000
1351, Hyundai Creta,2017,SX PLUS AT 1.6 PETROL,Automatic,Petrol,2nd Owner,100226,1015000
1352, Maruti Alto,2019,LXI O,Manual,Petrol,1st Owner,41958,375000
1353, Renault Duster,2015,85 PS RXL DIESEL,Manual,Diesel,1st Owner,83248,654000
1354, Hyundai Elite i20,2016,ASTA 1.2 (O),Manual,Petrol,1st Owner,91660,625000
1355, Maruti Baleno,2017,ZETA PETROL 1.2,Manual,Petrol,1st Owner,80830,658000
1356, Hyundai Creta,2017,SX PLUS 1.6 PETROL,Manual,Petrol,2nd Owner,61139,972000
1357, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,54592,472000
1358, Honda Jazz,2016,1.2L I-VTEC V,Manual,Petrol,1st Owner,47077,559000
1359, Mahindra XUV500,2016,W10,Manual,Diesel,2nd Owner,97110,1208000
1360, Tata ALTROZ,2020,XZ PETROL,Manual,Petrol,1st Owner,40742,761000
1361, Honda Brio,2018,S MT,Manual,Petrol,1st Owner,43457,510000
1362, Maruti Celerio,2014,VXI,Manual,Petrol,1st Owner,30876,428000
1363, Maruti Swift,2015,ZDI,Manual,Diesel,2nd Owner,71884,648000
1364, Renault Kwid,2021,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,26755,538000
1365, Maruti Swift,2012,VXI,Manual,Petrol,1st Owner,42762,464000
1366, Maruti Alto K10,2011,VXI,Manual,Petrol,3rd Owner,37681,224000
1367, Hyundai Elite i20,2015,ASTA 1.2,Manual,Petrol,2nd Owner,43371,624000
1368, Honda Amaze,2019,1.5L I-DTEC VX CVT,Automatic,Diesel,1st Owner,22980,914000
1369, Hyundai NEW I20,2021,ASTA (O) 1.5 CRDI MT,Manual,Diesel,1st Owner,58286,1125000
1370, Maruti Vitara Brezza,2017,VDI,Manual,Diesel,1st Owner,96567,743000
1371, Maruti Baleno,2017,ZETA PETROL 1.2,Manual,Petrol,1st Owner,26031,714000
1372, Tata NEXON,2018,XZA PLUS DIESEL,Automatic,Diesel,1st Owner,82449,855000
1373, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,77646,522000
1374, Renault Duster,2016,RXS 85 PS,Manual,Diesel,2nd Owner,73494,735000
1375, Renault Kiger,2021,RXZ TURBO CVT,Automatic,Petrol,2nd Owner,48938,962000
1376, Renault Kwid,2019,CLIMBER 1.0,Manual,Petrol,1st Owner,52231,417000
1377, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,2nd Owner,42061,485000
1378, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,2nd Owner,33294,741000
1379, Maruti S PRESSO,2021,VXI (O),Manual,Petrol,1st Owner,42954,478000
1380, Honda Jazz,2016,1.2L I-VTEC VX,Manual,Petrol,2nd Owner,35337,555000
1381, Maruti Swift Dzire,2016,ZDI AMT,Automatic,Diesel,1st Owner,31093,704000
1382, Maruti IGNIS,2021,ALPHA 1.2 K12,Manual,Petrol,1st Owner,31530,666000
1383, Maruti Celerio X,2018,ZXI,Manual,Petrol,1st Owner,63618,486000
1384, Maruti Baleno,2021,ZETA CVT PETROL 1.2,Automatic,Petrol,1st Owner,17744,820000
1385, Hyundai Verna,2017,1.6 VTVT SX,Manual,Petrol,1st Owner,32893,859000
1386, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,2nd Owner,55146,703000
1387, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,58358,469000
1388, Hyundai Verna,2017,1.6 VTVT SX,Manual,Petrol,2nd Owner,33237,829000
1389, Maruti Swift,2018,VXI,Manual,Petrol,2nd Owner,44590,588000
1390, Renault Duster,2020,RXZ 1.3 TURBO PETROL MT,Manual,Petrol,1st Owner,95678,928000
1391, Mahindra XUV500,2019,W11 (O) AT,Automatic,Diesel,1st Owner,30853,1808000
1392, Honda Brio,2016,S MT,Manual,Petrol,1st Owner,65453,438000
1393, Honda Brio,2013,S MT,Manual,Petrol,2nd Owner,81100,319000
1394, Hyundai Elite i20,2017,SPORTZ 1.2,Manual,Petrol,1st Owner,43083,644000
1395, Mahindra XUV500,2019,W11(O),Manual,Diesel,1st Owner,36982,1754000
1396, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,32168,472000
1397, Mahindra KUV 100 NXT,2018,K8 P 6 STR,Manual,Petrol,1st Owner,32207,587000
1398, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,2nd Owner,58198,493000
1399, Honda City,2017,1.5L I-VTEC ZX CVT,Automatic,Petrol,1st Owner,62708,1055000
1400, Hyundai Verna,2017,1.6 CRDI SX,Manual,Diesel,1st Owner,60988,883000
1401, Tata ALTROZ,2020,XZ DIESEL,Manual,Diesel,1st Owner,48673,886000
1402, Maruti Wagon R 1.0,2011,VXI,Manual,Petrol,2nd Owner,69138,290000
1403, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,68306,492000
1404, Hyundai Elite i20,2016,MAGNA 1.2,Manual,Petrol,1st Owner,40335,608000
1405, Renault Duster,2017,RXL PETROL,Manual,Petrol,1st Owner,68505,747000
1406, Maruti Wagon R 1.0,2010,VXI,Manual,Petrol,2nd Owner,35969,299000
1407, Maruti Swift,2015,VDI ABS,Manual,Diesel,2nd Owner,88509,558000
1408, Maruti Ciaz,2020,ALPHA 1.5 SHVS PETROL,Manual,Petrol,1st Owner,80648,802000
1409, Hyundai Grand i10,2018,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,16247,639000
1410, Maruti Swift Dzire,2015,ZXI,Manual,Petrol,1st Owner,17811,665000
1411, Maruti S PRESSO,2020,VXI+,Manual,Petrol,1st Owner,74089,410000
1412, Hyundai Elite i20,2017,SPORTZ 1.2,Manual,Petrol,1st Owner,77593,642000
1413, Maruti Baleno,2016,ZETA PETROL 1.2,Manual,Petrol,2nd Owner,44253,641000
1414, Hyundai Elite i20,2015,ASTA 1.2,Manual,Petrol,1st Owner,53606,666000
1415, Volkswagen Ameo,2017,HIGHLINE PLUS 1.5L AT 16 ALLOY,Automatic,Diesel,2nd Owner,87012,596000
1416, Maruti Baleno,2020,ZETA CVT PETROL 1.2,Automatic,Petrol,1st Owner,15123,825000
1417, Maruti Swift,2012,VXI,Manual,Petrol,1st Owner,65969,441000
1418, Maruti Wagon R 1.0,2016,VXI OPT,Manual,Petrol,1st Owner,80190,420000
1419, Maruti Dzire,2017,ZXI Plus AMT,Automatic,Petrol,2nd Owner,44270,665000
1420, Ford Ecosport,2018,TITANIUM 1.5L PETROL,Manual,Petrol,2nd Owner,29552,798000
1421, Maruti Alto,2019,VXI,Manual,Petrol,1st Owner,14051,406000
1422, Maruti S PRESSO,2020,VXI+,Manual,Petrol,1st Owner,21226,451000
1423, Renault Kwid,2021,CLIMBER 1.0 (O),Manual,Petrol,2nd Owner,15473,491000
1424, Maruti Ciaz,2016,ZDI SHVS,Manual,Diesel,1st Owner,79824,697000
1425, Maruti S PRESSO,2022,VXI+,Manual,Petrol,1st Owner,45872,494000
1426, Volkswagen Vento,2017,HIGHLINE PLUS 1.2 AT 16 ALLOY,Automatic,Petrol,2nd Owner,53460,737000
1427, Ford FREESTYLE,2018,TITANIUM 1.2 PETROL,Manual,Petrol,1st Owner,58710,593000
1428, Maruti Swift,2015,VDI ABS,Manual,Diesel,2nd Owner,56976,595000
1429, KIA SELTOS,2019,GTX + AT PETROL,Automatic,Petrol,1st Owner,49589,1609000
1430, Maruti Ciaz,2017,ZETA DIESEL 1.3,Manual,Diesel,2nd Owner,57268,748000
1431, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,63782,486000
1432, Honda BR-V,2016,1.5L I-VTEC V CVT,Automatic,Petrol,2nd Owner,79061,814000
1433, Hyundai Verna,2020,SX (O)1.0 TURBO DCT,Automatic,Petrol,1st Owner,47456,1326000
1434, Hyundai Creta,2017,SX PLUS 1.6 PETROL,Manual,Petrol,2nd Owner,42757,995000
1435, Maruti Celerio,2015,ZXI,Manual,Petrol,1st Owner,52209,466000
1436, Honda Jazz,2015,1.2L I-VTEC V AT,Automatic,Petrol,1st Owner,96896,547000
1437, Tata Tiago,2016,XZ PETROL,Manual,Petrol,2nd Owner,78959,466000
1438, Maruti Alto 800,2014,LXI,Manual,Petrol,2nd Owner,48946,252000
1439, Renault Captur,2018,RXT Diesel Dual Tone,Manual,Diesel,2nd Owner,38199,869000
1440, Mahindra XUV500,2020,W11(O),Manual,Diesel,1st Owner,60599,1761000
1441, Hyundai i10,2013,SPORTZ 1.2 AT,Automatic,Petrol,2nd Owner,91279,354000
1442, Ford Ecosport,2019,TITANIUM + 1.5L PETROL,Manual,Petrol,1st Owner,45133,932000
1443, Hyundai Creta,2017,SX PLUS AT 1.6 PETROL,Automatic,Petrol,2nd Owner,50508,1009750
1444, Maruti Alto 800,2017,VXI O,Manual,Petrol,2nd Owner,41690,314000
1445, Ford Ecosport,2016,TITANIUM 1.5L PETROL AT,Automatic,Petrol,2nd Owner,54909,691000
1446, Honda City,2015,1.5L I-VTEC VX,Manual,Petrol,2nd Owner,51947,713000
1447, Renault Kiger,2021,RXZ CVT 1.0 TURBO DUAL TONE,Automatic,Petrol,1st Owner,16082,960000
1448, Skoda Rapid,2017,STYLE 1.5 TDI AT,Automatic,Diesel,1st Owner,75037,947000
1449, Toyota YARIS,2018,G CVT,Automatic,Petrol,1st Owner,33425,804000
1450, Maruti IGNIS,2020,ZETA 1.2,Manual,Petrol,1st Owner,56218,591000
1451, Maruti Dzire,2019,ZXI PLUS AMT,Automatic,Petrol,1st Owner,35146,722000
1452, Volkswagen Polo,2014,HIGHLINE DIESEL,Manual,Diesel,2nd Owner,100761,640000
1453, Renault Kwid,2021,RXT 1.0 (O),Manual,Petrol,1st Owner,71306,454000
1454, Maruti Ciaz,2016,ZXI,Manual,Petrol,2nd Owner,72136,703000
1455, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,1st Owner,8732,798000
1456, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,61417,577000
1457, Honda Jazz,2019,1.2L I-VTEC VX CVT,Automatic,Petrol,2nd Owner,32790,777000
1458, Maruti Wagon R 1.0,2010,VXI,Manual,Petrol,1st Owner,89928,269000
1459, Hyundai Elite i20,2014,ASTA 1.2,Manual,Petrol,1st Owner,67515,544000
1460, Honda Jazz,2016,1.2L I-VTEC V,Manual,Petrol,1st Owner,68576,603000
1461, Renault Kwid,2021,RXL 1.0,Manual,Petrol,2nd Owner,15512,454000
1462, Hyundai Verna,2012,FLUIDIC 1.6 CRDI SX AT,Automatic,Diesel,2nd Owner,99327,509000
1463, Hyundai Grand i10,2016,ASTA 1.2 KAPPA VTVT,Manual,Petrol,3rd Owner,46894,458000
1464, Maruti Celerio,2017,ZXI AMT (O),Automatic,Petrol,1st Owner,89329,477000
1465, Honda Jazz,2016,1.2 VX I-VTECH,Manual,Petrol,1st Owner,65072,641000
1466, Maruti Wagon R 1.0,2017,VXI,Manual,Petrol,1st Owner,58659,462000
1467, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,58131,509000
1468, Tata Tiago,2020,XZA PLUS DUAL TONE PETROL,Automatic,Petrol,1st Owner,26591,720000
1469, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,24700,512000
1470, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,56661,515000
1471, Maruti Celerio X,2018,ZXI (O),Manual,Petrol,2nd Owner,61576,473000
1472, Maruti Baleno,2017,DELTA CVT PETROL 1.2,Automatic,Petrol,2nd Owner,39481,729000
1473, Honda Jazz,2018,1.2L I-VTEC VX CVT,Automatic,Petrol,2nd Owner,71165,637000
1474, Hyundai Verna,2017,1.6 CRDI SX,Manual,Diesel,1st Owner,114451,770000
1475, Maruti Swift,2017,ZXI,Manual,Petrol,2nd Owner,40811,617000
1476, Maruti Celerio,2020,ZXI (O),Manual,Petrol,2nd Owner,36085,537000
1477, Hyundai i10,2010,MAGNA 1.2,Manual,Petrol,1st Owner,62726,276000
1478, Honda Jazz,2016,1.2L I-VTEC V,Manual,Petrol,1st Owner,78782,558000
1479, Maruti Swift,2021,VXI,Manual,Petrol,1st Owner,13058,774000
1480, Hyundai Creta,2017,SX PLUS 1.6 PETROL,Manual,Petrol,2nd Owner,72313,946000
1481, Maruti Dzire,2017,ZXI PLUS,Manual,Petrol,1st Owner,18097,743000
1482, Maruti Swift,2021,VXI,Manual,Petrol,1st Owner,14089,744000
1483, Maruti Swift Dzire,2016,VXI,Manual,Petrol,2nd Owner,85863,574000
1484, Maruti Ciaz,2018,ZETA 1.5 SHVS MT PETROL,Manual,Petrol,1st Owner,45621,809000
1485, Maruti Swift,2013,LXI,Manual,Petrol,1st Owner,44437,433000
1486, Ford Ecosport,2016,TITANIUM 1.5L PETROL,Manual,Petrol,2nd Owner,19397,699000
1487, Maruti Celerio,2015,ZXI,Manual,Petrol,1st Owner,44265,462000
1488, Honda City,2018,1.5L I-VTEC ZX CVT ANNIVERSARY EDITION,Automatic,Petrol,1st Owner,59472,1060000
1489, Honda City,2021,1.5L I-VTEC V MT 5TH GEN,Manual,Petrol,1st Owner,10949,1189000
1490, Honda WR-V,2017,1.2L I-VTEC VX MT,Manual,Petrol,2nd Owner,59930,727000
1491, Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,63284,462000
1492, Tata Tiago,2016,XZ PETROL,Manual,Petrol,1st Owner,13286,520000
1493, Mahindra XUV500,2017,W10 AT FWD,Automatic,Diesel,1st Owner,66971,1428000
1494, Hyundai Grand i10,2013,MAGNA 1.1 CRDI,Manual,Diesel,2nd Owner,81805,426000
1495, Honda Brio,2012,S MT,Manual,Petrol,1st Owner,90802,359000
1496, Renault Kwid,2021,CLIMBER 1.0 AMT (O),Automatic,Petrol,1st Owner,14191,581000
1497, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,85038,533000
1498, Maruti Celerio,2018,VXI,Manual,Petrol,2nd Owner,61227,455000
1499, Renault Kiger,2021,RXZ CVT 1.0 TURBO DUAL TONE,Automatic,Petrol,1st Owner,14608,960000
1500, Maruti Swift,2013,VXI,Manual,Petrol,1st Owner,70694,452000
1501, Maruti Baleno,2016,DELTA CVT PETROL 1.2,Automatic,Petrol,1st Owner,67225,645000
1502, Hyundai Grand i10,2015,ASTA AT 1.2 KAPPA VTVT,Automatic,Petrol,1st Owner,45463,555000
1503, Maruti Swift Dzire,2013,ZXI,Manual,Petrol,1st Owner,39886,504000
1504, Mahindra XUV500,2016,W10,Manual,Diesel,2nd Owner,74592,1244000
1505, Maruti Swift,2012,VDI,Manual,Diesel,2nd Owner,98752,467000
1506, Maruti Wagon R 1.0,2011,VXI,Manual,Petrol,1st Owner,121403,278000
1507, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,101356,428000
1508, Maruti Dzire,2017,VDI AMT,Automatic,Diesel,2nd Owner,112566,657000
1509, Honda City,2017,1.5L I-VTEC VX,Manual,Petrol,2nd Owner,56293,823600
1510, Renault Kwid,2021,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,11890,583000
1511, Maruti Celerio,2015,VXI AMT,Automatic,Petrol,1st Owner,33279,468000
1512, Maruti Celerio,2019,VXI AMT (O),Automatic,Petrol,1st Owner,45551,543000
1513, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,2nd Owner,10916,518000
1514, Maruti S PRESSO,2020,VXI PLUS AMT,Automatic,Petrol,2nd Owner,3803,523000
1515, Honda Jazz,2017,1.2L I-VTEC V,Manual,Petrol,2nd Owner,40073,657000
1516, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,61105,457000
1517, Hyundai i20,2013,SPORTZ 1.2,Manual,Petrol,1st Owner,40480,464000
1518, Maruti Baleno,2017,ZETA PETROL 1.2,Manual,Petrol,1st Owner,49174,714000
1519, Maruti Celerio,2017,VXI,Manual,Petrol,2nd Owner,40997,456000
1520, Ford Ecosport,2015,TITANIUM 1.5L PETROL AT,Automatic,Petrol,2nd Owner,42710,659000
1521, Volkswagen Vento,2016,HIGHLINE PETROL AT,Automatic,Petrol,1st Owner,71642,716000
1522, Maruti Celerio,2021,ZXI PLUS,Manual,Petrol,1st Owner,2370,687000
1523, Honda Amaze,2019,1.2L I-VTEC VX CVT,Automatic,Petrol,1st Owner,45560,747000
1524, Maruti Swift,2019,VXI AMT,Automatic,Petrol,1st Owner,70314,645000
1525, Hyundai Elite i20,2016,ASTA 1.2,Manual,Petrol,1st Owner,53789,660000
1526, Maruti Swift,2017,ZXI,Manual,Petrol,1st Owner,89674,641000
1527, Honda WR-V,2017,1.2L I-VTEC VX MT,Manual,Petrol,1st Owner,26158,812000
1528, Maruti Ciaz,2016,ZXI,Manual,Petrol,1st Owner,89801,701000
1529, Maruti Swift,2013,VXI,Manual,Petrol,1st Owner,69124,459000
1530, Tata NEXON,2018,XZA PLUS DIESEL,Automatic,Diesel,1st Owner,85731,881000
1531, Maruti Celerio,2016,VXI AMT,Automatic,Petrol,2nd Owner,76039,434000
1532, Renault Kwid,2021,CLIMBER 1.0 (O),Manual,Petrol,1st Owner,6200,573000
1533, Maruti Alto K10,2010,VXI,Manual,Petrol,1st Owner,54671,233000
1534, Maruti S PRESSO,2019,VXI+,Manual,Petrol,1st Owner,53125,427000
1535, Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,73975,442000
1536, Honda City,2020,1.5L I-VTEC VX CVT,Automatic,Petrol,1st Owner,29708,1348000
1537, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,44212,485000
1538, Honda City,2016,1.5L I-VTEC V MT,Manual,Petrol,1st Owner,46275,723000
1539, Hyundai Elite i20,2015,ASTA 1.2,Manual,Petrol,1st Owner,72961,619000
1540, Tata Tiago,2016,XZ PETROL,Manual,Petrol,1st Owner,142372,437000
1541, Maruti Swift,2021,VXI,Manual,Petrol,1st Owner,12983,767000
1542, Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,96297,414000
1543, Maruti Swift,2012,VXI,Manual,Petrol,1st Owner,55529,483000
1544, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,3rd Owner,50510,444000
1545, Honda City,2020,1.5L I-VTEC ZX CVT,Automatic,Petrol,1st Owner,57963,1317000
1546, Hyundai Elite i20,2017,ASTA 1.2,Manual,Petrol,2nd Owner,64235,649000
1547, Mahindra XUV500,2018,W7,Manual,Diesel,1st Owner,85786,1321000
1548, Maruti Alto 800,2015,LXI,Manual,Petrol,2nd Owner,79566,275000
1549, Hyundai Grand i10,2014,ASTA (O) 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,31440,464700
1550, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,1st Owner,17444,536000
1551, Ford Ecosport,2017,TITANIUM 1.5L PETROL AT,Automatic,Petrol,2nd Owner,85126,707000
1552, Maruti Dzire,2020,ZXI PLUS AMT,Automatic,Petrol,2nd Owner,40394,726000
1553, Ford Ecosport,2017,TITANIUM 1.5L DIESEL,Manual,Diesel,1st Owner,48743,827000
1554, Maruti Celerio,2015,ZXI AMT,Automatic,Petrol,2nd Owner,99579,414000
1555, Maruti Swift,2016,VXI,Manual,Petrol,1st Owner,30740,598000
1556, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,1st Owner,77428,687000
1557, Maruti Vitara Brezza,2017,ZDI PLUS DUAL TONE,Manual,Diesel,1st Owner,94127,909000
1558, Renault Duster,2014,110 PS RXZ 4X4 MT DIESEL,Manual,Diesel,1st Owner,106334,694000
1559, Maruti Celerio,2015,ZXI,Manual,Petrol,1st Owner,39613,487000
1560, Honda City,2018,1.5L I-VTEC ZX CVT,Automatic,Petrol,1st Owner,41462,1034000
1561, Ford Ecosport,2016,TITANIUM 1.5L DIESEL,Manual,Diesel,1st Owner,29302,762000
1562, Maruti Baleno,2016,ZETA PETROL 1.2,Manual,Petrol,1st Owner,116624,640000
1563, Tata Tiago,2016,XZ PETROL,Manual,Petrol,1st Owner,64492,488000
1564, Honda City,2018,1.5L I-VTEC VX,Manual,Petrol,1st Owner,39466,936000
1565, Ford Ecosport,2016,1.5 TITANIUM TI VCT AT,Automatic,Petrol,1st Owner,63805,705000
1566, Maruti Baleno,2016,ZETA PETROL 1.2,Manual,Petrol,2nd Owner,36184,714000
1567, Maruti Swift,2013,ZXI,Manual,Petrol,1st Owner,61102,496000
1568, Honda Brio,2014,V MT,Manual,Petrol,1st Owner,64312,384000
1569, Honda City,2021,1.5L I-VTEC VX CVT,Automatic,Petrol,1st Owner,39942,1316000
1570, Maruti Swift,2018,VXI AMT,Automatic,Petrol,2nd Owner,42162,663000
1571, Maruti Celerio,2017,VXI (O),Manual,Petrol,1st Owner,81849,455000
1572, Maruti Alto 800,2012,LXI,Manual,Petrol,1st Owner,68582,248000
1573, Hyundai Grand i10,2019,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,42976,577000
1574, Tata ALTROZ,2020,XZ PETROL,Manual,Petrol,1st Owner,45295,772000
1575, Tata Tiago,2020,XZ PETROL,Manual,Petrol,1st Owner,24357,651000
1576, Maruti Swift,2017,VXI O,Manual,Petrol,2nd Owner,64917,616000
1577, Renault Kwid,2019,RXT 1.0 (O),Manual,Petrol,1st Owner,18305,476000
1578, Maruti IGNIS,2021,DELTA 1.2 AMT,Automatic,Petrol,2nd Owner,4940,692000
1579, Volkswagen TAIGUN,2021,TOPLINE 1.0 TSI MT,Manual,Petrol,1st Owner,97346,1387000
1580, Maruti Baleno,2017,DELTA CVT PETROL 1.2,Automatic,Petrol,1st Owner,55127,655000
1581, Maruti Alto 800,2017,LXI,Manual,Petrol,2nd Owner,47619,334000
1582, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,1st Owner,30197,730000
1583, Maruti Swift,2017,ZXI,Manual,Petrol,1st Owner,42809,676000
1584, Maruti Wagon R 1.0,2015,VXI,Manual,Petrol,1st Owner,37083,407000
1585, Maruti Alto,2020,VXI PLUS,Manual,Petrol,2nd Owner,73140,393000
1586, Honda City,2017,1.5L I-DTEC V,Manual,Diesel,1st Owner,120409,729000
1587, Volkswagen Vento,2016,HIGHLINE PETROL AT,Automatic,Petrol,2nd Owner,48079,762000
1588, Maruti Baleno,2021,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,8548,962000
1589, Tata Tiago,2020,XZ PLUS DUAL TONE PETROL,Manual,Petrol,1st Owner,35383,668000
1590, Honda Jazz,2016,1.2L I-VTEC S AT,Automatic,Petrol,2nd Owner,60223,575000
1591, Maruti Alto 800,2015,LXI,Manual,Petrol,1st Owner,22524,301000
1592, Honda City,2019,1.5L I-VTEC ZX CVT,Automatic,Petrol,1st Owner,65759,971000
1593, Maruti Celerio,2015,ZXI,Manual,Petrol,1st Owner,57521,454000
1594, Hyundai i10,2015,SPORTZ 1.1,Manual,Petrol,1st Owner,76938,392000
1595, Honda Jazz,2019,1.2L I-VTEC VX CVT,Automatic,Petrol,1st Owner,63460,784000
1596, Hyundai Elite i20,2015,ASTA 1.2,Manual,Petrol,1st Owner,54154,622000
1597, Maruti Swift,2018,VXI,Manual,Petrol,2nd Owner,38189,657000
1598, Maruti Swift,2012,VXI,Manual,Petrol,1st Owner,66346,439000
1599, Maruti Swift Dzire,2017,ZDI AMT,Automatic,Diesel,1st Owner,88411,704000
1600, Mahindra XUV500,2014,W6,Manual,Diesel,1st Owner,133844,820000
1601, Hyundai i20,2012,SPORTZ 1.2,Manual,Petrol,1st Owner,40296,466000
1602, Honda Brio,2015,S MT,Manual,Petrol,1st Owner,65394,402000
1603, Hyundai Grand i10,2018,MAGNA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,40769,546000
1604, Honda City,2016,1.5L I-VTEC VX CVT,Automatic,Petrol,1st Owner,41138,795000
1605, Maruti Celerio X,2018,ZXI,Manual,Petrol,1st Owner,25642,530000
1606, Honda City,2020,1.5L I-VTEC ZX CVT,Automatic,Petrol,1st Owner,17785,1203000
1607, Maruti Baleno,2016,ZETA PETROL 1.2,Manual,Petrol,1st Owner,39959,714000
1608, Ford Ecosport,2019,TITANIUM 1.5L PETROL,Manual,Petrol,1st Owner,54134,824000
1609, Maruti Baleno,2016,ZETA PETROL 1.2,Manual,Petrol,1st Owner,40623,687000
