,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1104, Maruti IGNIS,2017,DELTA 1.2 AMT,Automatic,Petrol,1st Owner,16202,623000
1105, Maruti Celerio,2022,VXI,Manual,Petrol,1st Owner,46679,576000
1106, Hyundai Elite i20,2015,ASTA 1.4 CRDI,Manual,Diesel,2nd Owner,83731,613000
1107, Maruti Wagon R 1.0,2013,VXI,Manual,Petrol,1st Owner,44807,355000
1108, Hyundai Grand i10,2019,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,42090,574000
1109, Renault Kwid,2018,RXT 1.0 EASY-R  AT,Automatic,Petrol,2nd Owner,74022,391000
1110, Hyundai i10,2011,SPORTZ 1.2 AT,Automatic,Petrol,2nd Owner,79363,312600
1111, Hyundai NEW SANTRO,2018,SPORTZ AMT,Automatic,Petrol,1st Owner,38985,551000
1112, Honda Brio,2012,S MT,Manual,Petrol,1st Owner,29320,375000
1113, Maruti IGNIS,2017,ZETA 1.2 AMT,Automatic,Petrol,2nd Owner,47488,568000
1114, Maruti Ciaz,2016,ZDI SHVS,Manual,Diesel,1st Owner,116737,618000
1115, Maruti Alto K10,2016,VXI,Manual,Petrol,2nd Owner,74250,311000
1116, Maruti Celerio X,2018,ZXI AMT,Automatic,Petrol,1st Owner,42174,521000
1117, Hyundai New Elantra,2019,2.0 SX(O) AT PETROL,Automatic,Petrol,2nd Owner,47334,1398000
1118, Hyundai Elite i20,2018,ASTA 1.2 (O),Manual,Petrol,1st Owner,35368,780000
1119, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,52568,496000
1120, Hyundai i10,2010,SPORTZ 1.2 KAPPA2,Manual,Petrol,2nd Owner,46972,285000
1121, Maruti Celerio,2017,ZXI AMT,Automatic,Petrol,2nd Owner,30622,486000
1122, Maruti New Wagon-R,2022,ZXI 1.2,Manual,Petrol,1st Owner,29074,634000
1123, Honda City,2017,VX MT DIESEL,Manual,Diesel,1st Owner,59373,984000
1124, Honda Amaze,2013,1.5L I-DTEC VX,Manual,Diesel,1st Owner,97658,420000
1125, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,45246,483000
